ID,V1,V2,V3,Date,V4,review_title,review_detail,
B00FB2XNCE,3,67,81,"October 3, 2013",AA7CHSYLJOSY4,Blu Tooth Issues resolved - Updated,"Bought this device as second Android screen for my Samsung Galaxy S4 smart phone. Got with the black strap. So far it is working ok. There were some initial troubles in pairing this device with my phone via NFC. After several attempts, gave up on NFC pairing and went with blu tooth pairing. Blu tooth pairing is holding good till now. I have moved this watch away from the phone by significant distance and did not face any re-pairing type annoyances yet.The watch face is wider than the length by few mm. I went with this watch instead of Samsung gear because I have small hands and I thought this will fit better than Samsung gear. The Gear is longer and narrower than Sony SW2. This watch sits perfect on my hand with no constant sliding in any direction. I have to use the last hole on the strap though.I did not go with Samsung Gear because, as of now it will not work with my S4. I was also not keen on camera, extra cost and non-replaceable straps.The resolution on SW2 is decent, but Samsung Gear resolution is much better. I did not compare them side by side, but I am fine with Sony SW2 resolution. I purchased one app so far to enable me to dial numbers from the phone (just for coolness factor).The SW2 has one button on the side (like a regular watch) and it has 3 soft buttons (back, home and apps type button - still trying to figure this one out). You cannot press the soft buttons directly without pressing side button first. One the other side, there is a micro usb port to charge the watch.Sony SW2 Smart Connect Liveware is the software that need to be installed on the phone first. It happens when the watch is paired with phone. One can also download the s/w from google play store directly as well. Once the Liveware s/w is installed the watch comes to life. The liveware s/w gives options to installs apps on the watch directly. There are few to select from.The screen response is decent. It is not blazing fast, but generally responsive. I have installed Gmail, Messages, phone app, dial pad so far. They all work fine. The gmail app shows the gmail on your watch, messages shows texts on watch on so on. The dialpad allowed me to dial a number from the watch.My biggest complaint about this watch is its standby brightness. It is very low and it is difficult to read the time without pushing the side button. The black watch face (shown in some pictures) is absolutely not readable. I have switched to white background, which made it marginally better. Pushing the side button, brightens up the screen and makes the time very readable.  I think this is a big miss for Sony SW2. The watch should always tell time clearly without the need to push additional buttons. Hopefully this will get fixed via s/w update in near future.My second issue is that there are no apps to allow multiple timezones to be displayed on the watch. As a watch linked to smartphone, I think this should have been made available out of the box. It should have allowed the travelers to switch timezones with a simple swipe action. This would have made it really useful for people traveling in multiple time zones regularly. I hope an app gets released by Sony or some third party to address this gap. There is a timezone app in the market, which allows to set a single timezone.I will keep testing and post any updates.Pros:- fits on my small hand- looks good- wide and flexible strap- Decent resolution- Some useful appsCons:- Standby display brightness is very low making it very difficult to tell time without pushing the side button- Cannot pair via NFC (may be it is a galaxy s4 issue)- Very few free apps. Most of the apps are at least 0.99- No hotmail app- Mail app listed by liveware is not compatible with the watch- No world clock app yet- Watch froze once so far, Had to reset (by pushing and holding power button for 15 second)Update : 10/4/2013The device is always paired over blu tooth. As some else pointed out, NFC is just for easier pairing. I think the issue was, when I tried pair it by NFC tapping, it did not download the liveware software. However when I paired it using blu tooth manually, it started downloading liveware software. I stand corrected on the NFC pairing. Thanks for pointing it out. However, theI am downgrading it 1 star because this device impacts the call quality on my blu tooth paired car phone system (honda odyssey). When this device is paired, the phone calls have become scratchy, barely audible over the other blu tooth paired headset.Update : 10/11/2013The blue tooth issue has been resolved after taking to an android expert. Basically on the phone I have to turn off sending Media Audio over BT, but only send Call Audio over BT. This resolved the call quality issues I had with Odyssey Handsfree Link BT.",
B00FB2XNCE,1,1,5,"August 8, 2014",A1WWGDOFTCW8Q,One Star,"Bad qulity its not water proof , now my watch not working",
B00FB2XNCE,5,1,1,"August 7, 2014",A2TYLWQL2P5ND6,Excelente producto... recomendado 100%,Excelente producto... recomendado 100%,
B00FB2XNCE,5,2,2,"August 6, 2014",AP6ZSZ5M3Z647,I am extremely glad I purchased it,"I won't repeat all the glowing reviews others have posted.  This watch does everything I expected it to and has never failed me once.  I am extremely glad I purchased it.The one thing I wasn't expecting was to be a pseudo-salesman for Sony by answering all the questions and showing off all the features of the watch !  Not a day goes by without someone asking me &#34;Is that one of those smart watches ?&#34; and I have to flip through screens, show text messages I received, etc..  Get a text and look at your wrist without touching your phone and you get, &#34;Did you just read that text on your WATCH ?!?&#34;  Your phone rings, you look at your wrist and say, &#34;That's going to voicemail.&#34;. Onlookers just say &#34;W-What ??&#34;.If you're shy or don't like talking to people, do NOT get this watch !",
B00FB2XNCE,4,0,1,"August 6, 2014",A2ZDCERIF8YUV9,"same as the old one, just bigger screen","It is the same as the older version just with a bigger screen, not much of a big upgrade",
B00FB2XNCE,5,0,0,"August 6, 2014",A2PGKY79S07JRH,Five Stars,great!!,
B00FB2XNCE,1,0,3,"August 5, 2014",APRBJCYUQTBNS,One Star,I want to return it,
B00FB2XNCE,2,1,2,"August 5, 2014",A3UC9HF8FJ0WRT,The Bluetooth doesn't work instantly. Whenever I got notice ...,The Bluetooth doesn't work instantly. Whenever I got notice of facebook or email or text message on d phone and it d watch doesn't respond after quite long time.,
B00FB2XNCE,5,0,0,"August 5, 2014",A398TK9Y54WRIQ,Five Stars,i feel glad is amazing,
B00FB2XNCE,5,0,0,"August 5, 2014",A1M1VF3VZJ5HHZ,Five Stars,Excelente!!,
B00FB2XNCE,5,0,0,"August 3, 2014",A4711TNV7A6CV,Five Stars,Works great!,
B00FB2XNCE,1,2,4,"May 4, 2014",A1ZZCRNVVTH1XG,Get the galaxy gear instead.,Battery life is awful and you can not receive call or should I say talk on it like the galaxy gear. Waste of money.,
B00FB2XNCE,5,2,2,"May 2, 2014",A37XAN43KC3VL,Awesome new toy.,"Great price first of all....this watch is an awesome new toy if you like watches and technology. So many little neat useless things you can do on this baby, plus it also tells time. Takes a little while to get used to. I think one of the coolest things about this is setting the alarm, waking up to your wrist vibrating is a heck of a lot better than some annoying alarm clock. A lot cheaper than the Samsung Gear, sure the smartwatch 2 doesn't have a camera or a speaker but do you really need to take pictures from your wrist or have the world hearing your phone conversation? No. Plus it looks a little Dick Tracy talking into your wrist, like do you think you're secret service?Smartwatch 2 - go for it!Very impressed.",
B00FB2XNCE,4,0,1,"May 1, 2014",A3J16WMKU4QCSA,Great for reading notifications and SMS messages!,"The smartwatch is a device that few people really *need*, though it's really nice to have.I use this little guy to read my phone's notifications, check the weather, change songs on the phone's player, and read emails and text messages as they come in. It is perfect for that.It is priced very well for what it does.Why 4 stars? I am a sucker for high-res screens these days, and I'm sorry Sony -- you made a really readable display in a water resistent package, but those pixels drop one star. I'm a brat. I'm spoiled by post-2012 LCD screens on my doo-hickeys, and while your colors and contrasts are great, those darn pixels stand out like low-tech featurephone screens of yesteryear.I still love it. It's stylish, the battery lasts me 5-6 days, and I don't have to take it off in the shower! (though I probably should)",
B00FB2XNCE,3,0,1,"April 29, 2014",A1VGLLMR1YH9UA,Ok smartwatch,"This is an ok smartwatch. It does its job, but does not wow me. There was an update that improved some but it was not enough. I do like the you can switch the watch bands out.",
B00FB2XNCE,5,1,3,"April 28, 2014",A2JLMLR04TA4Y0,"Not what I expected, but everything it claims to be.","I got this watch mainly because I was so impressed by the Sony Xperia Z Ultra that I wanted to see other products in the line.I find this watch basically useless:  the screen is too small to interact with  the screen is too small to read emailsHowever, I'm giving it five stars as it fulfills its description / specs.",
B00FB2XNCE,5,1,1,"April 28, 2014",A2LNJJWW2TLL00,Good for the price,Received my Sony Smart Watch2. I'm extremely please on its operations one week into it. Very easy setup. The hardest part was getting the watch out of the box it comes it. Looks to holding a charge good so far.  More to follow..,
